tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
771,14:16.4,27:08.2,72,W 52 St & 11 Ave,40.76727216,-73.99392888,379,W 31 St & 7 Ave,40.749156,-73.9916,14536,Subscriber,1952,1
264,14:45.2,19:09.7,72,W 52 St & 11 Ave,40.76727216,-73.99392888,478,11 Ave & W 41 St,40.76030096,-73.99884222,32820,Subscriber,1965,1
819,48:55.2,02:35.0,72,W 52 St & 11 Ave,40.76727216,-73.99392888,405,Washington St & Gansevoort St,40.739323,-74.008119,16131,Subscriber,1968,1
646,12:50.2,23:36.5,72,W 52 St & 11 Ave,40.76727216,-73.99392888,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,20831,Subscriber,1990,2
1312,46:48.9,08:41.5,72,W 52 St & 11 Ave,40.76727216,-73.99392888,435,W 21 St & 6 Ave,40.74173969,-73.99415556,15899,Subscriber,1957,1
435,50:45.4,58:00.8,72,W 52 St & 11 Ave,40.76727216,-73.99392888,173,Broadway & W 49 St,40.76068327,-73.98452729,19749,Subscriber,1983,1
289,51:07.7,55:57.3,72,W 52 St & 11 Ave,40.76727216,-73.99392888,514,12 Ave & W 40 St,40.76087502,-74.00277668,17412,Subscriber,1988,2
1454,53:43.1,17:57.3,72,W 52 St & 11 Ave,40.76727216,-73.99392888,426,West St & Chambers St,40.71754834,-74.01322069,17548,Subscriber,1988,1
639,16:56.5,27:35.7,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3173,Riverside Blvd & W 67 St,40.77750703,-73.98888588,18515,Subscriber,1988,1
530,40:24.6,49:14.6,72,W 52 St & 11 Ave,40.76727216,-73.99392888,458,11 Ave & W 27 St,40.751396,-74.005226,31050,Subscriber,1982,1
779,53:27.3,06:27.1,72,W 52 St & 11 Ave,40.76727216,-73.99392888,524,W 43 St & 6 Ave,40.75527307,-73.98316936,20522,Subscriber,1960,2
1167,55:17.5,14:45.2,72,W 52 St & 11 Ave,40.76727216,-73.99392888,496,E 16 St & 5 Ave,40.73726186,-73.99238967,32013,Subscriber,1959,1
1211,59:40.0,19:51.5,72,W 52 St & 11 Ave,40.76727216,-73.99392888,347,Greenwich St & W Houston St,40.728846,-74.008591,31524,Subscriber,1982,1
